ID,Layer,Boundary Moment,Human / System Event,LLM Failure Risk,Pre-collapse Frame,Steering Phrase,Context Qualifier,Cadence Mode,Confidence Bias,Allowed Move Shape,Disallowed Collapse,Skill Logic to Inject,Reducer / Scorer Target,Pass Signal,Likely Fail Class,Why This Row Matters
PSL-131,Route State,before committing state,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as a validation problem,preserve unless explicit,stale,low_contact_hold,infer_low_risk,complete_route_terminal,silent submit,explicit_terminal_commit,terminal_commit_guard,route_status complete only after terminal_commit,FAIL_LOST_ROUTE,Uses 'preserve unless explicit' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into complete_route_terminal instead of silent submit.
PSL-132,User Intent,after side question,Billy wants fast physical guidance,LLM collapses side branch into route switch,"Treat this as recovery, not a new task",do not infer progress,fresh,normal,infer_low_risk,ask_one_question,auto-advance on done,done_vs_move_on,done_vs_move_on_guard,one bounded question; no state mutation,FAIL_CADENCE_TOO_FAST,Uses 'do not infer progress' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into ask_one_question instead of auto-advance on done.
PSL-133,Side Branch,after ambiguous completion,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as route preservation,ask one short question,current,repair_mode,infer_low_risk,restore_route_chunk,silent submit,task_return_recovery,no_invented_progress_guard,route_id and active_chunk_id re-stated/restored,FAIL_INVENTED_STATE,Uses 'ask one short question' to bias the LLM before scorer collapse; converts billy asks unrelated side question into restore_route_chunk instead of silent submit.
PSL-134,Recovery,before repair packet,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as a cadence problem,re-anchor to active_chunk_id,active,slow_boundary,infer_low_risk,hold_same_chunk,auto-advance on done,cadence_downshift,terminal_commit_guard,state_version may update; active_chunk_id unchanged,FAIL_NO_RESPONSE_CONTRACT,Uses 're-anchor to active_chunk_id' to bias the LLM before scorer collapse; converts billy changes goal mid-route into hold_same_chunk instead of auto-advance on done.
PSL-135,Cadence,after assistant drift,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as a parked branch,classify before committing,committed,fast_physical,infer_low_risk,complete_chunk_only,silent submit,low_contact_hold,done_vs_move_on_guard,current chunk marked complete; active_chunk_id unchanged,FAIL_ADVANCED_WITHOUT_PERMISSION,Uses 'classify before committing' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into complete_chunk_only instead of silent submit.
PSL-136,Authority,before committing state,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as state-mutating,gate before mutation,pending,low_contact_hold,infer_low_risk,reject_mutation,auto-advance on done,visible_action_gate,no_invented_progress_guard,event rejected or held; no mutation,FAIL_UNSAFE_ACTION,Uses 'gate before mutation' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into reject_mutation instead of auto-advance on done.
PSL-137,Memory,after side question,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a visibility/safety boundary,prefer visible action,parked,normal,infer_low_risk,emit_repair_packet,silent submit,side_question_return,terminal_commit_guard,repair required or PASS_WITH_REPAIR emitted,FAIL_REPAIR_DID_NOT_REANCHOR,Uses 'prefer visible action' to bias the LLM before scorer collapse; converts billy asks unrelated side question into emit_repair_packet instead of silent submit.
PSL-138,Safety,after ambiguous completion,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as an explicit terminal boundary,downshift to confirmation,visible,repair_mode,infer_low_risk,park_side_question,auto-advance on done,smallest_legal_move,done_vs_move_on_guard,side question captured/answered; route not mutated,FAIL_TOO_MANY_QUESTIONS,Uses 'downshift to confirmation' to bias the LLM before scorer collapse; converts billy changes goal mid-route into park_side_question instead of auto-advance on done.
PSL-139,Runtime Surface,before repair packet,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as low-risk physical progress,bias toward hold,bounded,slow_boundary,infer_low_risk,advance_one_chunk,silent submit,fast_physical_checkin,no_invented_progress_guard,active_chunk_id changes by exactly one legal step,FAIL_CADENCE_TOO_SLOW,Uses 'bias toward hold' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into advance_one_chunk instead of silent submit.
PSL-140,Skill Selection,after assistant drift,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as skill-selection,restore before helping,explicit,fast_physical,infer_low_risk,complete_route_terminal,auto-advance on done,repair_reanchor,terminal_commit_guard,route_status complete only after terminal_commit,FAIL_LOST_ROUTE,Uses 'restore before helping' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into complete_route_terminal instead of auto-advance on done.
PSL-141,Route State,before committing state,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a validation problem,answer briefly then return,low-risk,low_contact_hold,infer_low_risk,ask_one_question,silent submit,stale_packet_refusal,done_vs_move_on_guard,one bounded question; no state mutation,FAIL_CADENCE_TOO_FAST,Uses 'answer briefly then return' to bias the LLM before scorer collapse; converts billy asks unrelated side question into ask_one_question instead of silent submit.
PSL-142,User Intent,after side question,Billy changes goal mid-route,LLM collapses side branch into route switch,"Treat this as recovery, not a new task",choose the smallest legal next move,high-risk,normal,infer_low_risk,restore_route_chunk,auto-advance on done,one_question_only,no_invented_progress_guard,route_id and active_chunk_id re-stated/restored,FAIL_INVENTED_STATE,Uses 'choose the smallest legal next move' to bias the LLM before scorer collapse; converts billy changes goal mid-route into restore_route_chunk instead of auto-advance on done.
PSL-143,Side Branch,after ambiguous completion,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as route preservation,preserve unless explicit,stale,repair_mode,infer_low_risk,hold_same_chunk,silent submit,explicit_terminal_commit,terminal_commit_guard,state_version may update; active_chunk_id unchanged,FAIL_NO_RESPONSE_CONTRACT,Uses 'preserve unless explicit' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into hold_same_chunk instead of silent submit.
PSL-144,Recovery,before repair packet,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as a cadence problem,do not infer progress,fresh,slow_boundary,infer_low_risk,complete_chunk_only,auto-advance on done,done_vs_move_on,done_vs_move_on_guard,current chunk marked complete; active_chunk_id unchanged,FAIL_ADVANCED_WITHOUT_PERMISSION,Uses 'do not infer progress' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into complete_chunk_only instead of auto-advance on done.
